,Condition,Capacity,Capital,Character,Collateral,loan_status,profit_or_loss,addr_state,home_ownership
0,-0.6696756211273849,-0.2594585515905794,-0.6775040523793332,0.09811852064871458,0.07,1,-10726.23,Northeast,MORTGAGE
1,-0.5946499141658825,-0.4560187359512439,-0.5900877080882677,-0.03479914265557753,0.0664,1,-8875.77,,RENT
2,-0.6644086140609377,-0.12140901062193361,-0.41181687972116854,0.006270148114326466,0.07,1,-15178.22,West,MORTGAGE
3,-0.9706185114207777,-0.03295076468170579,-0.20505985182697695,0.3183261657933784,0.07,1,1921.6899999999987,Midwest,MORTGAGE
4,-0.6071638477496274,-0.14734117244259975,-0.35375637766714013,0.06731369388921495,-0.1956,-1,-11499.15,Northeast,MORTGAGE
5,-0.8708840212194162,-0.1690722165503248,-0.6391164297753518,0.09566285720233118,0.07,1,-13907.42,Northeast,MORTGAGE
6,-0.20758869609815622,-0.4079534673963811,-0.6964888815504969,0.07803802706703224,0.09960000000000001,1,292.1400000000003,Northeast,RENT
7,-0.20175444384142688,-0.1555967117526771,-0.4228008929283299,-0.0651376518374349,0.0332,1,-4696.65,Northeast,RENT
8,-0.2631920969672123,-0.6116153527260384,-0.7750014312506264,-0.1116240606250116,0.0664,1,-3487.74,South,RENT
9,-0.6259348258373246,-0.3203377278574062,-0.761420648325575,0.07260748572186246,0.0,-1,-10634.4,West,RENT
10,-0.0012659033160478915,-0.4467834731358784,-0.5169014212050977,-0.1730923251700231,-0.1624,1,287.48,West,MORTGAGE
11,-0.4386843548062187,-0.3132810162920616,-0.49379513960473215,-0.034186594366035314,0.166,1,-6194.1,West,RENT
12,-0.23908460096075973,-0.2305018859515777,-0.4809370303263366,0.06523195700878838,-0.029600000000000015,1,-1402.75,West,MORTGAGE
13,-0.1821058357771007,-0.18145217192633672,-0.5175353461207532,0.053420810807264026,-0.1956,1,-1024.23,West,MORTGAGE
14,-0.2912353426195847,-0.387368538981295,-0.5086340944887005,0.08336922510924964,0.09960000000000001,1,-1114.5,South,RENT
15,-0.383060961491852,-0.2770574550069135,-0.30570559463160496,0.06471301361587475,0.2324,1,-7191.04,South,RENT
16,-0.7790037353800136,-0.4205703150171244,-0.4568000959669657,0.17475300167839672,0.07,1,-7071.790000000001,South,MORTGAGE
17,-1.0239920075955247,-0.44024546890790583,-0.726399987631269,0.024838942922292807,0.0332,-1,-25708.13,West,RENT
18,-0.6903859059920561,-0.6656501581301267,-0.6800491416776318,0.06330269109128368,-0.0628,-1,-12795.1,West,MORTGAGE
19,-0.14135178734079995,-0.3079589103972356,-0.2507041326198469,0.04809489842509458,-0.262,1,-417.1999999999998,West,MORTGAGE
20,-0.45527947664031454,-0.321116602129094,-0.5056361287454647,0.12979778532178923,0.1328,1,-1588.7900000000009,South,RENT
21,-1.624270668109955,0.2500327625283684,-0.1414184345942042,0.4959673063338774,0.5214,1,1628.8600000000006,South,OWN
22,-0.5971711607232584,-0.3010835214839004,-0.5189612614406285,0.17594932273591793,-0.1956,1,-1983.5200000000004,Northeast,MORTGAGE
23,-0.4789840610061108,-0.2622801445272227,-0.2876529739310975,0.027301675122140295,0.0332,1,-368.3299999999999,West,RENT
24,-1.0675081342794224,-0.1492240067406225,-0.35423725531521877,0.26796182179128236,0.2324,1,-4194.419999999998,Northeast,RENT
25,-0.3066483238490893,-0.42510144999534394,-0.5023398628350186,-0.12251841190815477,0.0664,1,-598.5799999999999,Northeast,RENT
26,-0.2943261058690243,-0.1647288454143642,-0.6191673164772186,0.11193482942484254,-0.029600000000000015,1,293.2000000000007,South,MORTGAGE
27,-0.4366411450676134,-0.33435653212023153,-0.4528832919283189,0.12346407375714245,0.0332,1,-1256.119999999999,Northeast,RENT
28,-0.35084853350089973,-0.2244632808357461,-0.42407126294090647,-0.08769120079353909,0.5878,1,1380.5499999999993,West,OWN
29,-0.8309312020859163,-0.5121676185938417,-0.3451168112066735,0.18741879845075246,0.19920000000000002,1,-7137.25,West,RENT
30,-0.9290489891510978,-0.13849322743960418,-0.28860034043098753,0.09894864033573364,-0.096,1,-13664.98,South,MORTGAGE
31,-0.13328097389323304,-0.4285735466154541,-0.48226889197195616,0.047673943037685414,0.1328,1,-448.2600000000002,West,RENT
32,-0.6655879758609355,-0.247174150054915,-0.19934463116081746,0.18039686684191256,0.332,1,-1655.3600000000006,Northeast,RENT
33,-0.18462009808798252,-0.19388639322161938,-0.13376398232338305,0.025635451232596643,-0.0628,-1,-2874.36,West,MORTGAGE
34,-1.1272572806817795,-0.22762111381119232,-0.36443293615476463,0.2907724265526075,0.0664,1,-3511.350000000002,West,RENT
35,-0.4073341572548236,-0.4788778749448015,-0.8071321400851736,0.15413784325340169,0.1328,1,1807.130000000001,Northeast,RENT
36,-0.27496134194963484,-0.37369386117524817,-0.33894306985883704,0.0865150060162536,0.332,1,-582.3900000000003,Northeast,RENT
37,-0.7720394961861562,-0.3526732849233609,-0.2546786268316053,-0.05929299245603882,0.07,-1,-14097.8,South,MORTGAGE
38,-1.0059084557640843,-0.269626316221402,-0.463091788823804,0.1903120874431578,0.07,-1,-11423.77,South,MORTGAGE
39,-0.06736170913408306,-0.29143779118340046,-0.6444319396012295,-0.05129744955193732,-0.0628,1,106.90999999999985,Northeast,MORTGAGE
40,-0.5015207236438705,-0.08588901053647995,-0.2288528439560053,0.1753718304932423,0.003599999999999992,1,973.8700000000008,South,MORTGAGE
41,-0.18336065958029885,-0.32152452248084595,-0.47310545495133377,0.0714175345623475,0.09960000000000001,1,353.64999999999964,Midwest,RENT
